origem,destino,peso
Pires do Rio,Santa Cruz de Goiás,21.72
Pires do Rio,São Miguel do Passa Quatro,49.08
Pires do Rio,Urutaí,19.83
Pontalina,Professor Jamil,37.32
Pontalina,Vicentinópolis,44.33
Porangatu,Santa Tereza de Goiás,33.89
Porangatu,Trombas,44.84
Porteirão,Santa Helena de Goiás,45.78
Porteirão,Turvelândia,15.05
Porteirão,Vicentinópolis,39.26
Posse,Simolândia,43.85
Professor Jamil,Varjão,46.9
Rialma,Rianápolis,16.4
Rialma,Rubiataba,29.38
Rialma,Santa Isabel,16.81
Rialma,São Patrício,25.68
Rialma,Uruana,23.41
Rianápolis,Rubiataba,44.57
Rianápolis,Santa Isabel,19.01
Rianápolis,São Patrício,34.54
Rianápolis,Uruana,19.65
Rio Verde,Santa Helena de Goiás,34.1
Rio Verde,Santo Antônio da Barra,39.82
Rubiataba,Santa Isabel,43.3
Rubiataba,São Patrício,20.99
Rubiataba,Uruana,39.64
Sanclerlândia,São Luís de Montes Belos,36.61
Sanclerlândia,Turvânia,49.85
Santa Bárbara de Goiás,Santo Antônio de Goiás,42.32
Santa Bárbara de Goiás,Trindade,23.37
Santa Bárbara de Goiás,Turvânia,47.27
Santa Cruz de Goiás,São Miguel do Passa Quatro,34.48
Santa Cruz de Goiás,Urutaí,34.0
Santa Helena de Goiás,Santo Antônio da Barra,28.4
Santa Helena de Goiás,Turvelândia,31.55
Santa Isabel,Santa Rita do Novo Destino,37.34
Santa Isabel,São Luiz do Norte,49.49
Santa Isabel,São Patrício,42.48
Santa Isabel,Uruana,35.92
Santa Rita do Novo Destino,São Luiz do Norte,37.82
Santa Rita do Novo Destino,Vila Propício,43.74
Santa Rosa de Goiás,Santo Antônio de Goiás,48.44
Santa Rosa de Goiás,São Francisco de Goiás,30.66
Santa Rosa de Goiás,Taquaral de Goiás,12.13
Santa Tereza de Goiás,Trombas,37.32
Santa Terezinha de Goiás,Uirapuru,28.13
Santo Antônio da Barra,Turvelândia,47.85
Santo Antônio de Goiás,Senador Canedo,34.31
Santo Antônio de Goiás,Terezópolis de Goiás,26.36
Santo Antônio de Goiás,Trindade,27.18
Santo Antônio do Descoberto,Valparaíso de Goiás,33.15
São Francisco de Goiás,Taquaral de Goiás,39.31
São João da Paraúna,São Luís de Montes Belos,32.65
São João da Paraúna,Turvânia,36.55
São Luís de Montes Belos,Turvânia,27.1
São Luiz do Norte,Uruaçu,42.63
São Miguel do Passa Quatro,Silvânia,44.65
São Miguel do Passa Quatro,Vianópolis,38.6
São Patrício,Uruana,21.81
Senador Canedo,Terezópolis de Goiás,34.93
Senador Canedo,Trindade,43.21
Silvânia,Vianópolis,13.3
Simolândia,Sítio d'Abadia,44.95
Trindade,Varjão,46.37
